setting,q,threshold,n,k,p,accepted
medium/ARC/C2C,0.25,6.139278411865234e-06,72,9,0.9969505132578251,False
medium/ARC/C2C,0.3,1.2993812561035156e-05,83,11,0.9991408736634965,False
medium/ARC/C2C,0.35,3.629922866821289e-05,97,12,0.9988973797522708,False
medium/ARC/C2C,0.4,8.797645568847656e-05,106,14,0.9997376826815009,False
medium/ARC/C2C,0.45,0.00016224384307861328,110,15,0.9998801844263325,False
medium/ARC/C2C,0.5,0.00043064355850219727,117,19,0.9999985318793038,False
medium/ARC/C2C,0.55,0.0008376240730285645,124,20,0.9999990488737662,False
medium/ARC/C2C,0.6,0.0024725794792175293,134,22,0.9999997690697765,False
medium/ARC/C2C,0.65,0.006692945957183838,143,27,0.9999999994434492,False
medium/ARC/C2C,0.7,0.017986297607421875,153,32,0.9999999999989538,False
medium/ARC/C2C,0.75,0.02934563159942627,159,37,0.9999999999999994,False
medium/ARC/C2C,0.8,0.06008720397949219,164,39,1.0,False
medium/ARC/C2C,0.85,0.09630841016769409,167,40,1.0,False
medium/ARC/C2C,0.9,0.18242573738098145,173,43,1.0,False
medium/ARC/C2C,0.95,0.2693212032318115,180,44,1.0,False
medium/ARC/C2C,1.0,Infinity,192,54,1.0,False
large/OBQA/Text+fact,0.05,1.1920928955078125e-07,41,0,0.12208654873684822,False
large/OBQA/Text+fact,0.1,3.5762786865234375e-07,86,1,0.06709122984269626,False
large/OBQA/Text+fact,0.15,7.152557373046875e-07,117,2,0.0642531180486782,False
large/OBQA/Text+fact,0.2,1.7881393432617188e-06,165,5,0.1625063161048364,False
large/OBQA/Text+fact,0.25,3.0994415283203125e-06,193,8,0.3684663604924139,False
large/OBQA/Text+fact,0.3,7.987022399902344e-06,228,9,0.2925300277010664,False
large/OBQA/Text+fact,0.35,1.8835067749023438e-05,257,12,0.47725813385304283,False
large/OBQA/Text+fact,0.4,4.5418739318847656e-05,290,14,0.5162546710261456,False
large/OBQA/Text+fact,0.45,0.00010412931442260742,318,17,0.6713224811797167,False
large/OBQA/Text+fact,0.5,0.0002611875534057617,357,20,0.7469760949831658,False
large/OBQA/Text+fact,0.55,0.0004642605781555176,384,26,0.9508812875560635,False
large/OBQA/Text+fact,0.6,0.001170039176940918,422,31,0.986201407846137,False
large/OBQA/Text+fact,0.65,0.0036364197731018066,463,46,0.9999954004260049,False
large/OBQA/Text+fact,0.7,0.008580565452575684,493,55,0.9999999853694674,False
large/OBQA/Text+fact,0.75,0.020641982555389404,539,75,0.9999999999999992,False
large/OBQA/Text+fact,0.8,0.04792952537536621,575,84,1.0,False
large/OBQA/Text+fact,0.85,0.10750377178192139,618,100,1.0,False
