setting,parser,q,n,k,p,accepted,label
medium/OBQA/Text,D1,0.45,601,36,0.884295,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.5,665,50,0.998047,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.55,739,66,0.999997,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.6,800,89,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.65,880,105,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.7,959,138,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.75,1019,161,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.8,1089,190,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.85,1155,224,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.9,1219,262,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,0.95,1293,304,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,D1,1.0,1366,348,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.05,601,8,1.28696e-06,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.1,601,8,1.28696e-06,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.15,601,8,1.28696e-06,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.2,601,8,1.28696e-06,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.25,601,8,1.28696e-06,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.3,601,8,1.28696e-06,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.35,601,8,1.28696e-06,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.4,601,8,1.28696e-06,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.45,601,8,1.28696e-06,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.5,665,11,4.92929e-06,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.55,739,18,0.000331749,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.6,800,32,0.109252,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.65,880,46,0.657744,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.7,959,67,0.997086,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.75,1019,83,0.999992,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.8,1089,105,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.85,1155,130,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.9,1219,160,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,OFFICIAL,0.95,1293,193,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
