group,split,pair,benchmark,path,n_outputs,n_parse_differs,n_rerun_V2_ne_stored,label
null controls V0/V1/V2 (E4; displayed option order),dev,small,arc,V1,299,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
null controls V0/V1/V2 (E4; displayed option order),dev,small,arc,V2,299,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
null controls V0/V1/V2 (E4; displayed option order),dev,small,obqa,V0,742,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
null controls V0/V1/V2 (E4; displayed option order),dev,small,obqa,V1,742,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
null controls V0/V1/V2 (E4; displayed option order),dev,small,obqa,V2,742,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT1 (ClusterA),panel (replay),large,arc,fixed:ref,256,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT1 (ClusterA),panel (replay),large,arc,policy:R,235,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT1 (ClusterA),panel (replay),large,arc,policy:ref,21,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT1 (ClusterA),panel (replay),large,mmlu_pro,fixed:ref,256,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT1 (ClusterA),panel (replay),large,mmlu_pro,policy:R,96,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT1 (ClusterA),panel (replay),large,mmlu_pro,policy:ref,160,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT1 (ClusterA),panel (replay),large,obqa,fixed:ref,256,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT1 (ClusterA),panel (replay),large,obqa,policy:R,194,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT1 (ClusterA),panel (replay),large,obqa,policy:ref,62,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT1 (ClusterA),panel (replay),medium,arc,fixed:ref,128,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT1 (ClusterA),panel (replay),medium,arc,policy:R,77,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT1 (ClusterA),panel (replay),medium,arc,policy:ref,51,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT1 (ClusterA),panel (replay),medium,obqa,fixed:ref,128,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT1 (ClusterA),panel (replay),medium,obqa,policy:R,66,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT1 (ClusterA),panel (replay),medium,obqa,policy:ref,62,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT2 (ClusterA),panel (replay),large,arc,fixed:ref,256,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT2 (ClusterA),panel (replay),large,arc,policy:R,235,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT2 (ClusterA),panel (replay),large,arc,policy:ref,21,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT2 (ClusterA),panel (replay),large,mmlu_pro,fixed:ref,256,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT2 (ClusterA),panel (replay),large,mmlu_pro,policy:R,96,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT2 (ClusterA),panel (replay),large,mmlu_pro,policy:ref,160,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT2 (ClusterA),panel (replay),large,obqa,fixed:ref,256,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT2 (ClusterA),panel (replay),large,obqa,policy:R,194,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT2 (ClusterA),panel (replay),large,obqa,policy:ref,62,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT2 (ClusterA),panel (replay),medium,arc,fixed:ref,128,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT2 (ClusterA),panel (replay),medium,arc,policy:R,77,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT2 (ClusterA),panel (replay),medium,arc,policy:ref,51,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT2 (ClusterA),panel (replay),medium,obqa,fixed:ref,128,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT2 (ClusterA),panel (replay),medium,obqa,policy:R,66,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT2 (ClusterA),panel (replay),medium,obqa,policy:ref,62,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT3 (ClusterA),panel (replay),large,arc,fixed:ref,256,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT3 (ClusterA),panel (replay),large,arc,policy:R,235,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT3 (ClusterA),panel (replay),large,arc,policy:ref,21,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT3 (ClusterA),panel (replay),large,mmlu_pro,fixed:ref,256,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT3 (ClusterA),panel (replay),large,mmlu_pro,policy:R,96,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT3 (ClusterA),panel (replay),large,mmlu_pro,policy:ref,160,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT3 (ClusterA),panel (replay),large,obqa,fixed:ref,256,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT3 (ClusterA),panel (replay),large,obqa,policy:R,194,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT3 (ClusterA),panel (replay),large,obqa,policy:ref,62,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT3 (ClusterA),panel (replay),medium,arc,fixed:ref,128,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT3 (ClusterA),panel (replay),medium,arc,policy:R,77,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT3 (ClusterA),panel (replay),medium,arc,policy:ref,51,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT3 (ClusterA),panel (replay),medium,obqa,fixed:ref,128,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT3 (ClusterA),panel (replay),medium,obqa,policy:R,66,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E3 REPEAT3 (ClusterA),panel (replay),medium,obqa,policy:ref,62,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"replay: E3 full 2,641 MMLU-Pro C2C (ClusterA)",panel (replay),large,mmlu_pro,fixed:ref,2641,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"replay: E3 full 2,641 MMLU-Pro C2C (ClusterA)",panel (replay),large,mmlu_pro,policy:R,1069,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"replay: E3 full 2,641 MMLU-Pro C2C (ClusterA)",panel (replay),large,mmlu_pro,policy:ref,1572,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E6 Text+fact (ClusterA),panel (replay),large,obqa,fixed:ref,128,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E6 Text+fact (ClusterA),panel (replay),large,obqa,policy:R,92,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E6 Text+fact (ClusterA),panel (replay),large,obqa,policy:ref,36,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,arc,argmax:ref,21,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,arc,fixed:ref,256,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,arc,policy:R,235,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,arc,policy:ref,21,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,arc,reuse:R,235,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,arc,reuse:ref,21,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,mmlu_pro,argmax:ref,160,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,mmlu_pro,fixed:ref,256,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,mmlu_pro,policy:R,96,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,mmlu_pro,policy:ref,160,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,mmlu_pro,reuse:R,96,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,mmlu_pro,reuse:ref,160,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,obqa,argmax:ref,62,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,obqa,fixed:ref,256,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,obqa,policy:R,194,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
