task,id,route,policy_C_vs_same_round_fixed_C_raw_match,policy_C_vs_same_round_fixed_C_parsed_match,policy_C_vs_same_round_fixed_C_token_ids_match,policy_R_vs_Stage1_R_raw_match,policy_R_vs_Stage1_R_parsed_match,policy_R_vs_Stage1_R_token_ids_match,fixed_C_vs_Stage1_C_raw_match,fixed_C_vs_Stage1_C_parsed_match,online_ProbeMax_exactly_matches_Stage1,online_probe_input_hash_matches_Stage1,online_route_matches_Stage1,differences_retained_no_retry
arc,Mercury_SC_415354,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7171938,R,,,,True,True,True,True,True,True,True,True,True
arc,MCAS_1999_8_22,R,,,,True,True,True,True,True,True,True,True,True
arc,MEA_2016_5_7,R,,,,True,True,True,True,True,True,True,True,True
arc,MCAS_2005_8_5,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7141908,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7027230,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_SC_405973,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7245053,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7198380,R,,,,True,True,True,True,True,True,True,True,True
arc,NCEOGA_2013_5_43,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_SC_402239,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_SC_412337,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7238963,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_412683,C,True,True,True,,,,True,True,True,True,True,True
arc,ACTAAP_2009_5_5,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_SC_401244,R,,,,True,True,True,True,True,True,True,True,True
arc,AIMS_2009_4_29,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7018445,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7103215,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7032743,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7193043,C,True,True,True,,,,True,True,True,True,True,True
arc,MEA_2013_5_3,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_176838,C,True,True,True,,,,True,True,True,True,True,True
arc,MCAS_2011_5_17673,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7090720,R,,,,True,True,True,True,True,True,True,True,True
arc,NCEOGA_2013_8_40,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7164850,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7131828,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7245088,C,True,True,True,,,,True,True,True,True,True,True
arc,LEAP_2006_8_10412,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_SC_415366,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_180058,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7081760,R,,,,True,True,True,True,True,True,True,True,True
arc,NYSEDREGENTS_2014_4_28,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7085820,C,True,True,True,,,,True,True,True,True,True,True
arc,NCEOGA_2013_8_4,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7183015,R,,,,True,True,True,True,True,True,True,True,True
arc,AKDE&ED_2008_8_44,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_SC_LBS10598,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7282608,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7145513,C,True,True,True,,,,True,True,True,True,True,True
arc,NYSEDREGENTS_2014_4_22,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7284043,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7192990,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_SC_415348,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7008120,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_SC_LBS10040,C,True,True,True,,,,True,True,True,True,True,True
arc,MCAS_2013_8_29421,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7044100,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7241115,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_415263,C,True,True,True,,,,True,True,True,True,True,True
arc,MCAS_2012_8_23636,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7245893,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7139790,R,,,,True,True,True,True,True,True,True,True,True
arc,TIMSS_2011_8_pg63,C,True,True,True,,,,True,True,True,True,True,True
arc,MCAS_2006_9_33,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_184258,R,,,,True,True,True,True,True,True,True,True,True
arc,VASoL_2008_5_19,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7234483,C,True,True,True,,,,True,True,True,True,True,True
arc,ACTAAP_2010_5_10,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7007875,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_180443,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7159268,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7221865,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_SC_401663,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_184765,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7143518,C,True,True,True,,,,True,True,True,True,True,True
arc,MCAS_2010_8_12010,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7026443,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7250023,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_SC_401714,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7100695,R,,,,True,True,True,True,True,True,True,True,True
arc,ACTAAP_2007_7_25,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7135310,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_400905,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7159775,C,True,True,True,,,,True,True,True,True,True,True
