pair,dataset,family,fold,action,scope,predictor,n,positive,positive_rate,ROC_AUC,AP,log_loss,NA_reason
large,obqa,semantic,2,T,both_R_and_action_valid_diagnostic_only,FFR_E0,692,65,0.09393063583815028,0.523444976076555,0.09781632826519475,0.3128167802619789,
large,obqa,semantic,2,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,692,65,0.09393063583815028,0.5,0.09393063583815028,0.3118178338018011,
large,obqa,semantic,2,C,all,FFR_E0,693,51,0.0735930735930736,0.5511575346649563,0.09554067493302675,0.26220039256342714,
large,obqa,semantic,2,C,all,constant_flip_rate,693,51,0.0735930735930736,0.5,0.0735930735930736,0.2637240999894504,
large,obqa,semantic,2,C,both_R_and_action_valid_diagnostic_only,FFR_E0,690,48,0.06956521739130435,0.5490978712357217,0.09302874951038248,0.2525565329417867,
large,obqa,semantic,2,C,both_R_and_action_valid_diagnostic_only,constant_flip_rate,690,48,0.06956521739130435,0.5,0.06956521739130435,0.2541583211172733,
large,obqa,semantic,2,A,all,FFR_E0,693,10,0.01443001443001443,0.5786237188872622,0.024291043839115446,0.07578865967003164,
large,obqa,semantic,2,A,all,constant_flip_rate,693,10,0.01443001443001443,0.5,0.01443001443001443,0.07631509634413011,
large,obqa,semantic,2,A,both_R_and_action_valid_diagnostic_only,FFR_E0,688,6,0.00872093023255814,0.6275659824046921,0.022484686685289263,0.04953831444208157,
large,obqa,semantic,2,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,688,6,0.00872093023255814,0.5,0.00872093023255814,0.05013705077477867,
large,obqa,semantic,3,T,all,FFR_E0,693,65,0.09379509379509379,0.4897109260166585,0.1011498139233627,0.3157793756659162,
large,obqa,semantic,3,T,all,constant_flip_rate,693,65,0.09379509379509379,0.5,0.09379509379509379,0.31155066453568375,
large,obqa,semantic,3,T,both_R_and_action_valid_diagnostic_only,FFR_E0,692,64,0.09248554913294797,0.49601910828025475,0.10114804046436682,0.31241913204668564,
large,obqa,semantic,3,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,692,64,0.09248554913294797,0.5,0.09248554913294797,0.3086926013684202,
large,obqa,semantic,3,C,all,FFR_E0,693,60,0.08658008658008658,0.5022116903633491,0.11203858249156312,0.2961721170291302,
large,obqa,semantic,3,C,all,constant_flip_rate,693,60,0.08658008658008658,0.5,0.08658008658008658,0.29469879997340015,
large,obqa,semantic,3,C,both_R_and_action_valid_diagnostic_only,FFR_E0,691,58,0.08393632416787265,0.5046303862286865,0.11143589757461236,0.2895614539634129,
large,obqa,semantic,3,C,both_R_and_action_valid_diagnostic_only,constant_flip_rate,691,58,0.08393632416787265,0.5,0.08393632416787265,0.2883079570554234,
large,obqa,semantic,3,A,all,FFR_E0,693,4,0.005772005772005772,0.30696661828737304,0.004979502821456972,0.03868445863743306,
large,obqa,semantic,3,A,all,constant_flip_rate,693,4,0.005772005772005772,0.5,0.005772005772005772,0.03767013837086391,
large,obqa,semantic,3,A,both_R_and_action_valid_diagnostic_only,FFR_E0,690,2,0.002898550724637681,0.24055232558139533,0.002781127524871872,0.025783911396878308,
large,obqa,semantic,3,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,690,2,0.002898550724637681,0.5,0.002898550724637681,0.025058579670517035,
large,obqa,semantic,4,T,all,FFR_E0,693,82,0.11832611832611832,0.5372041036285977,0.13808468847718683,0.36535120498209306,
large,obqa,semantic,4,T,all,constant_flip_rate,693,82,0.11832611832611832,0.5,0.11832611832611832,0.3664792890676078,
large,obqa,semantic,4,T,both_R_and_action_valid_diagnostic_only,FFR_E0,691,80,0.11577424023154848,0.5312397708674306,0.13356296943396476,0.3600555360933979,
large,obqa,semantic,4,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,691,80,0.11577424023154848,0.5,0.11577424023154848,0.3607332495498022,
