pair,dataset,family,n_actions,lambda,n,version,panel_accuracy,action_cost_replay_ms,cost_scope
large,arc,semantic,3,0.1,128,updated_V2,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,3,0.3,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,3,0.3,128,updated_V2,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,3,1,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,3,1,128,updated_V2,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,3,3,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,3,3,128,updated_V2,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,4,0,128,old_V2_rescored,0.90625,981.4944128750001,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,4,0,128,updated_V2,0.90625,950.522008703125,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,4,0.01,128,old_V2_rescored,0.890625,355.8148520390625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,4,0.01,128,updated_V2,0.8984375,337.753207859375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,4,0.03,128,old_V2_rescored,0.8984375,267.2893558125,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,4,0.03,128,updated_V2,0.90625,279.39510524218747,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,4,0.1,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,4,0.1,128,updated_V2,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,4,0.3,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,4,0.3,128,updated_V2,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,4,1,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,4,1,128,updated_V2,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,4,3,128,old_V2_rescored,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,4,3,128,updated_V2,0.8984375,266.6171222734375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,arc,semantic,4,NA,128,fixed_R,0.8984375,266.6171222734375,old panel action-only replay; fixed action
large,arc,semantic,4,NA,128,fixed_T,0.9140625,1060.6606055078125,old panel action-only replay; fixed action
large,arc,semantic,4,NA,128,fixed_C,0.890625,422.5938222109375,old panel action-only replay; fixed action
large,arc,semantic,4,NA,128,fixed_A,0.8984375,297.05600934375,old panel action-only replay; fixed action
small,arc,word,3,0,128,old_V2_rescored,0.4765625,508.49881146875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,3,0,128,updated_V2,0.4765625,483.4357348125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,3,0.01,128,old_V2_rescored,0.4765625,456.3194697421875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,3,0.01,128,updated_V2,0.484375,452.63305996875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,3,0.03,128,old_V2_rescored,0.484375,444.43675439062497,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,3,0.03,128,updated_V2,0.484375,444.43675439062497,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,3,0.1,128,old_V2_rescored,0.484375,440.419399625,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,3,0.1,128,updated_V2,0.484375,440.419399625,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,3,0.3,128,old_V2_rescored,0.4921875,439.3341360703125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,3,0.3,128,updated_V2,0.4921875,439.3341360703125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,3,1,128,old_V2_rescored,0.4375,372.7560008125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,3,1,128,updated_V2,0.4375,371.912592984375,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,3,3,128,old_V2_rescored,0.390625,339.52760546093754,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,3,3,128,updated_V2,0.390625,339.52760546093754,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,4,0,128,old_V2_rescored,0.4765625,508.49881146875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,4,0,128,updated_V2,0.4765625,483.4357348125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,4,0.01,128,old_V2_rescored,0.4765625,456.3194697421875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,4,0.01,128,updated_V2,0.484375,452.63305996875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,4,0.03,128,old_V2_rescored,0.484375,444.43675439062497,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,4,0.03,128,updated_V2,0.484375,444.43675439062497,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,4,0.1,128,old_V2_rescored,0.484375,440.419399625,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,4,0.1,128,updated_V2,0.484375,440.419399625,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,4,0.3,128,old_V2_rescored,0.4921875,439.47256864843746,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,4,0.3,128,updated_V2,0.4921875,439.47256864843746,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,4,1,128,old_V2_rescored,0.421875,365.60962832812504,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,4,1,128,updated_V2,0.421875,365.60962832812504,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,4,3,128,old_V2_rescored,0.4140625,347.71102876562503,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,4,3,128,updated_V2,0.4140625,347.71102876562503,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,word,4,NA,128,fixed_R,0.375,340.99512340625,old panel action-only replay; fixed action
small,arc,word,4,NA,128,fixed_T,0.3984375,1204.8778762031252,old panel action-only replay; fixed action
small,arc,word,4,NA,128,fixed_C,0.484375,440.064044171875,old panel action-only replay; fixed action
small,arc,word,4,NA,128,fixed_A,0.3828125,348.11612971093746,old panel action-only replay; fixed action
small,arc,semantic,3,0,128,old_V2_rescored,0.4765625,494.648617125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,semantic,3,0,128,updated_V2,0.4765625,494.648617125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,semantic,3,0.01,128,old_V2_rescored,0.4765625,449.7730221484375,old panel action-only replay; new router overhead unmeasured; not new full latency
small,arc,semantic,3,0.01,128,updated_V2,0.4765625,449.7730221484375,old panel action-only replay; new router overhead unmeasured; not new full latency
