pair,dataset,family,n_actions,lambda,n,old_V2_rescored_accuracy,updated_V2_accuracy,accuracy_change,changed_selections,C_probability_mean_change,old_select_R,updated_select_R,old_select_T,updated_select_T,old_select_C,updated_select_C,old_select_A,updated_select_A
small,arc,word,3,3,299,0.3879598662207358,0.3879598662207358,0.0,1,0.003714845193159283,0.9531772575250836,0.9565217391304348,0.0,0.0,0.046822742474916385,0.043478260869565216,NA,NA
small,arc,word,4,0,299,0.5083612040133779,0.5083612040133779,0.0,3,0.003714845193159283,0.0,0.0,0.05351170568561873,0.043478260869565216,0.9431438127090301,0.9531772575250836,0.0033444816053511705,0.0033444816053511705
small,arc,word,4,0.01,299,0.5117056856187291,0.5150501672240803,0.0033444816053511705,1,0.003714845193159283,0.0,0.0,0.026755852842809364,0.023411371237458192,0.9698996655518395,0.9732441471571907,0.0033444816053511705,0.0033444816053511705
small,arc,word,4,0.03,299,0.5150501672240803,0.5150501672240803,0.0,0,0.003714845193159283,0.0033444816053511705,0.0033444816053511705,0.016722408026755852,0.016722408026755852,0.979933110367893,0.979933110367893,0.0,0.0
small,arc,word,4,0.1,299,0.5150501672240803,0.5150501672240803,0.0,0,0.003714845193159283,0.013377926421404682,0.013377926421404682,0.0,0.0,0.9866220735785953,0.9866220735785953,0.0,0.0
small,arc,word,4,0.3,299,0.5117056856187291,0.5117056856187291,0.0,3,0.003714845193159283,0.04013377926421405,0.033444816053511704,0.0,0.0,0.9531772575250836,0.9632107023411371,0.006688963210702341,0.0033444816053511705
small,arc,word,4,1,299,0.4280936454849498,0.4280936454849498,0.0,2,0.003714845193159283,0.39464882943143814,0.3879598662207358,0.0,0.0,0.33444816053511706,0.3411371237458194,0.2709030100334448,0.2709030100334448
small,arc,word,4,3,299,0.391304347826087,0.391304347826087,0.0,1,0.003714845193159283,0.5351170568561873,0.5384615384615384,0.0,0.0,0.03678929765886288,0.033444816053511704,0.4280936454849498,0.4280936454849498
small,arc,semantic,3,0,299,0.5050167224080268,0.5050167224080268,0.0,0,0.003950580201417034,0.0,0.0,0.056856187290969896,0.056856187290969896,0.9431438127090301,0.9431438127090301,NA,NA
small,arc,semantic,3,0.01,299,0.5083612040133779,0.5083612040133779,0.0,0,0.003950580201417034,0.0,0.0,0.03678929765886288,0.03678929765886288,0.9632107023411371,0.9632107023411371,NA,NA
small,arc,semantic,3,0.03,299,0.5183946488294314,0.5183946488294314,0.0,0,0.003950580201417034,0.0,0.0,0.013377926421404682,0.013377926421404682,0.9866220735785953,0.9866220735785953,NA,NA
small,arc,semantic,3,0.1,299,0.5183946488294314,0.5183946488294314,0.0,0,0.003950580201417034,0.006688963210702341,0.006688963210702341,0.0,0.0,0.9933110367892977,0.9933110367892977,NA,NA
small,arc,semantic,3,0.3,299,0.5183946488294314,0.5183946488294314,0.0,1,0.003950580201417034,0.026755852842809364,0.030100334448160536,0.0,0.0,0.9732441471571907,0.9698996655518395,NA,NA
