pair,dataset,reference,split,q,selected,cal_accepted,N,n_R,coverage,changed,conditional_risk,marginal_change,correct,accuracy,reference_correct,accuracy_diff_reference,best_fixed_correct,accuracy_diff_best_fixed,benefit,harm,neutral_change,risk_CP95_low,risk_CP95_high,identity
large,obqa,C,fit,0.5,False,True,2100,1116,0.5314285714285715,1,0.0008960573476702509,0.0004761904761904762,1680,0.8,1679,0.0004761904761904762,1800,-0.05714285714285705,1,0,0,2.268595054115965e-05,0.004982298195764479,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.55,False,True,2100,1172,0.5580952380952381,2,0.0017064846416382253,0.0009523809523809524,1681,0.8004761904761905,1679,0.0009523809523809524,1800,-0.05666666666666664,2,0,0,0.00020673006022284483,0.006150684327553566,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.6,False,True,2100,1267,0.6033333333333334,2,0.0015785319652722968,0.0009523809523809524,1681,0.8004761904761905,1679,0.0009523809523809524,1800,-0.05666666666666664,2,0,0,0.00019122474536054554,0.005690455323767246,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.65,False,True,2100,1366,0.6504761904761904,3,0.0021961932650073207,0.0014285714285714286,1681,0.8004761904761905,1679,0.0009523809523809524,1800,-0.05666666666666664,2,0,1,0.0004531370464827552,0.006404672280122176,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.7,False,True,2100,1470,0.7,7,0.004761904761904762,0.0033333333333333335,1683,0.8014285714285714,1679,0.0019047619047619048,1800,-0.055714285714285716,5,1,1,0.0019166112484186844,0.00978658771415147,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.75,False,True,2100,1578,0.7514285714285714,14,0.008871989860583017,0.006666666666666667,1685,0.8023809523809524,1679,0.002857142857142857,1800,-0.05476190476190468,8,2,4,0.004858644135794506,0.01484092963759372,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.8,True,True,2100,1680,0.8,28,0.016666666666666666,0.013333333333333334,1687,0.8033333333333333,1679,0.0038095238095238095,1800,-0.05380952380952375,15,7,6,0.011102714581086335,0.023998458578914868,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.85,False,False,2100,1785,0.85,49,0.027450980392156862,0.023333333333333334,1694,0.8066666666666666,1679,0.007142857142857143,1800,-0.05047619047619045,27,12,10,0.020375855470605275,0.03613063930356918,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.9,False,False,2100,1890,0.9,72,0.0380952380952381,0.03428571428571429,1702,0.8104761904761905,1679,0.010952380952380953,1800,-0.046666666666666634,40,17,15,0.029924276997122697,0.04773624104292396,predeclared descriptive curve; no dev selection
large,obqa,C,fit,0.95,False,False,2100,1995,0.95,115,0.05764411027568922,0.05476190476190476,1715,0.8166666666666667,1679,0.017142857142857144,1800,-0.04047619047619044,63,27,25,0.047822622018391506,0.06878929115978452,predeclared descriptive curve; no dev selection
large,obqa,C,fit,1.0,False,False,2100,2100,1.0,160,0.0761904761904762,0.0761904761904762,1717,0.8176190476190476,1679,0.018095238095238095,1800,-0.03952380952380952,79,41,40,0.0652031046747344,0.08837737587121651,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.05,False,True,1366,642,0.4699853587115666,2,0.003115264797507788,0.0014641288433382138,1083,0.7928257686676428,1081,0.0014641288433382138,1178,-0.0695461200585652,2,0,0,0.0003774959293138173,0.011207709624215507,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.1,False,True,1366,642,0.4699853587115666,2,0.003115264797507788,0.0014641288433382138,1083,0.7928257686676428,1081,0.0014641288433382138,1178,-0.0695461200585652,2,0,0,0.0003774959293138173,0.011207709624215507,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.15,False,True,1366,642,0.4699853587115666,2,0.003115264797507788,0.0014641288433382138,1083,0.7928257686676428,1081,0.0014641288433382138,1178,-0.0695461200585652,2,0,0,0.0003774959293138173,0.011207709624215507,predeclared descriptive curve; no dev selection
