name,B,repeat,subset_file,family,q,threshold,N,n_R,changed,conditional_risk,p_value,CP_upper_0_999,accepted,coverage,marginal_change,M,source_identity
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.45,0.17896619962987637,1366,601,17,0.028286189683860232,0.006056685842394622,0.05576252778811261,False,0.43997071742313326,0.012445095168374817,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.5,0.18084658325176295,1366,664,26,0.0391566265060241,0.11376569480968103,0.06814255740943453,False,0.486090775988287,0.01903367496339678,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.55,0.18292695384759972,1366,726,29,0.03994490358126722,0.12127892467983212,0.06761695898136143,False,0.5314787701317716,0.0212298682284041,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.6,0.1852760520143415,1366,789,31,0.03929024081115336,0.09370171226041685,0.065461458412257,False,0.5775988286969254,0.022693997071742314,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.65,0.18726749745391857,1366,844,36,0.04265402843601896,0.1850685152934049,0.06858271209323644,False,0.6178623718887262,0.02635431918008785,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.7,0.18948535698154667,1366,911,45,0.04939626783754116,0.5060903415072396,0.07560739192758979,False,0.6669106881405563,0.03294289897510981,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.75,0.19197275723228058,1366,987,56,0.05673758865248227,0.8515501106165528,0.08313158476841448,False,0.7225475841874085,0.040995607613469986,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.8,0.19430538895935456,1366,1058,72,0.06805293005671077,0.9959045942387075,0.09527333247084027,False,0.7745241581259151,0.0527086383601757,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.85,0.19783680955574234,1366,1147,87,0.07585004359197908,0.9999341144674426,0.10298587820948081,False,0.8396778916544656,0.0636896046852123,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.9,0.2014393487224686,1366,1220,100,0.08196721311475409,0.9999991414885042,0.10899318054712234,False,0.8931185944363104,0.07320644216691069,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,0.95,0.2064390377622567,1366,1282,115,0.08970358814352575,0.9999999988025707,0.11693952466661142,False,0.9385065885797951,0.0841874084919473,100,new_test
R512_r2,512,2,subsets/R512_r2.json,R512_r2,1.0,Infinity,1366,1366,143,0.10468521229868229,0.9999999999999999,0.1326098138082249,False,1.0,0.10468521229868229,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.05,0.15426384347601574,1366,64,0,0.0,0.03752413921111614,0.10231286755268579,False,0.04685212298682284,0.0,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.1,0.15470985603586052,1366,119,0,0.0,0.002234133030208602,0.05639568985211118,False,0.08711566617862372,0.0,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.15,0.1550336962228005,1366,188,0,0.0,6.486908831562983e-05,0.0360765335219201,True,0.1376281112737921,0.0,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.2,0.15528107723936158,1366,250,3,0.012,0.0012824952688924027,0.05120855852289878,False,0.18301610541727673,0.0021961932650073207,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.25,0.15553289339508514,1366,313,4,0.012779552715654952,0.0004155803940467749,0.04645753234882326,True,0.22913616398243045,0.0029282576866764276,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.3,0.15571104435289163,1366,366,5,0.01366120218579235,0.00020055153143619544,0.04425983686900134,True,0.2679355783308931,0.0036603221083455345,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.35,0.15592354855754764,1366,442,6,0.013574660633484163,4.028254010482302e-05,0.04030914433049015,True,0.3235724743777452,0.004392386530014641,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.4,0.15609304086703146,1366,499,8,0.01603206412825651,5.752529700216931e-05,0.041841059316618745,True,0.36530014641288433,0.005856515373352855,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.45,0.15627715277501042,1366,572,11,0.019230769230769232,0.00011742275702779007,0.044168236966455846,True,0.41874084919472915,0.008052708638360176,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.5,0.15643381876797524,1366,634,19,0.02996845425867508,0.009222110332482424,0.0570815370093513,False,0.46412884333821375,0.013909224011713031,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.55,0.15661508813376257,1366,696,22,0.031609195402298854,0.012139709928054535,0.0576926725600693,False,0.5095168374816984,0.016105417276720352,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.6,0.15679179699112833,1366,775,30,0.03870967741935484,0.0831460265524295,0.06501680772703129,False,0.5673499267935578,0.021961932650073207,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.65,0.1569623589899739,1366,843,38,0.045077105575326216,0.287459789527867,0.07156767369349668,False,0.6171303074670571,0.027818448023426062,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.7,0.15713962719068053,1366,903,53,0.058693244739756366,0.896632365257265,0.08682657697629764,False,0.6610541727672035,0.038799414348462666,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.75,0.15736392173840186,1366,993,62,0.06243705941591138,0.965835997098741,0.08972711286351968,False,0.7269399707174231,0.04538799414348463,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.8,0.15760458741269445,1366,1086,75,0.06906077348066299,0.997554764387815,0.09603813468949078,False,0.7950219619326501,0.05490483162518302,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.85,0.15781674403190293,1366,1148,83,0.07229965156794425,0.9995792621275915,0.09892201642693739,False,0.8404099560761347,0.06076134699853587,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.9,0.15810808067761883,1366,1216,100,0.08223684210526316,0.9999992577592214,0.10934636737658465,False,0.890190336749634,0.07320644216691069,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,0.95,0.1585047390704638,1366,1277,113,0.08848864526233359,0.9999999965166098,0.11563910311080056,False,0.9348462664714495,0.08272327964860908,100,new_test
R32_r3,32,3,subsets/R32_r3.json,R32_r3,1.0,Infinity,1366,1366,143,0.10468521229868229,0.9999999999999999,0.1326098138082249,False,1.0,0.10468521229868229,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.05,0.15007692846869358,1366,60,0,0.0,0.04606979898695208,0.10874906186625445,False,0.043923865300146414,0.0,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.1,0.15169593170026097,1366,129,0,0.0,0.0013376579723584634,0.052140022347761564,False,0.09443631039531479,0.0,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.15,0.15262127255821578,1366,187,0,0.0,6.828325085855769e-05,0.03626591494450565,True,0.13689604685212298,0.0,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.2,0.15363160895092498,1366,253,2,0.007905138339920948,0.00023730465559214023,0.043581698083725,True,0.18521229868228403,0.0014641288433382138,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.25,0.15430536667813988,1366,314,4,0.012738853503184714,0.00039954595287352445,0.04631212220642809,True,0.22986822840409957,0.0029282576866764276,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.3,0.15481272579242067,1366,352,5,0.014204545454545454,0.0003421606796667328,0.04599150171766554,True,0.25768667642752563,0.0036603221083455345,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.35,0.15539730508395022,1366,426,11,0.025821596244131457,0.009603036132182687,0.059045547961329985,False,0.3118594436310395,0.008052708638360176,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.4,0.15603248821823046,1366,498,12,0.024096385542168676,0.0027630430202308202,0.053453812816032176,False,0.3645680819912152,0.008784773060029283,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.45,0.15657785194125562,1366,553,16,0.028933092224231464,0.010371659229779088,0.05810985986277754,False,0.40483162518301613,0.01171303074670571,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.5,0.15719898716271663,1366,631,26,0.04120443740095087,0.17903218762646267,0.0716491691163161,False,0.46193265007320644,0.01903367496339678,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.55,0.15782550886123525,1366,725,34,0.04689655172413793,0.39179506638539696,0.07627469043915759,False,0.5307467057101025,0.024890190336749635,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.6,0.15842470878012194,1366,819,52,0.06349206349206349,0.964134751737299,0.09414181196376623,False,0.5995607613469985,0.03806734992679356,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.65,0.15889528018511545,1366,886,63,0.07110609480812641,0.9975133378464067,0.10169862204524967,False,0.6486090775988287,0.046120058565153735,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.7,0.1593370091994254,1366,935,76,0.08128342245989305,0.9999815515608178,0.11251041517702316,False,0.6844802342606149,0.055636896046852125,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.75,0.1598834624033214,1366,1024,89,0.0869140625,0.9999997266552363,0.11736664232869967,False,0.7496339677891655,0.06515373352855051,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.8,0.16042396819917049,1366,1108,103,0.09296028880866426,0.9999999988025271,0.12287369809647211,False,0.8111273792093704,0.07540263543191801,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.85,0.16097952184458575,1366,1168,110,0.09417808219178082,0.9999999998307533,0.12338263287134257,False,0.8550512445095169,0.08052708638360176,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.9,0.161646751976825,1366,1234,118,0.09562398703403566,0.9999999999843834,0.12412882449546432,False,0.9033674963396779,0.08638360175695461,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,0.95,0.1624943968513387,1366,1288,127,0.0986024844720497,0.999999999999645,0.12677881944985864,False,0.9428989751098097,0.09297218155197658,100,new_test
R128_r3,128,3,subsets/R128_r3.json,R128_r3,1.0,Infinity,1366,1366,143,0.10468521229868229,0.9999999999999999,0.1326098138082249,False,1.0,0.10468521229868229,100,new_test
R512_r3,512,3,subsets/R512_r3.json,R512_r3,0.05,0.15034139455729512,1366,72,0,0.0,0.024894280619189493,0.0914824243483132,False,0.0527086383601757,0.0,100,new_test
R512_r3,512,3,subsets/R512_r3.json,R512_r3,0.1,0.154902209741009,1366,126,0,0.0,0.0015601784194296114,0.05334773969181025,False,0.09224011713030747,0.0,100,new_test
