pair,dataset,family,fold,action,fit_gain,fit_harm,fit_flips,fit_zero_gain_flips,delta_shrunk,fit_flip_rate,heldout_flips,heldout_gain,heldout_harm,heldout_zero_gain_flips,heldout_signed_gain_per_flip_DIAGNOSTIC,fit_panel_n,c_ref_ms,cost_proxy_ms
small,arc,word,2,C,258,65,481,158,0.3995859213250518,0.5374301675977654,134,70,16,48,0.40298507462686567,207,339.7596079951691,430.3349634202899
small,arc,word,2,A,16,23,105,66,-0.06542056074766354,0.11731843575418995,35,3,8,24,-0.14285714285714285,207,339.7596079951691,351.2159913961352
small,arc,word,3,T,194,114,467,159,0.17057569296375266,0.5217877094972067,111,49,23,39,0.23423423423423423,195,342.9615180307694,1246.6177881589747
small,arc,word,3,C,263,63,488,162,0.40816326530612246,0.5452513966480447,127,65,18,44,0.3700787401574803,195,342.9615180307694,432.56004350769234
small,arc,word,3,A,14,22,108,72,-0.07272727272727272,0.12067039106145251,32,5,9,18,-0.125,195,342.9615180307694,352.03190368717947
small,arc,word,4,T,200,109,476,167,0.1903765690376569,0.53125,102,43,28,31,0.14705882352941177,206,337.69753960679617,1277.2051669223306
small,arc,word,4,C,263,66,498,169,0.394,0.5558035714285714,117,65,15,37,0.42735042735042733,206,337.69753960679617,432.4529952815533
small,arc,word,4,A,17,25,114,72,-0.06896551724137931,0.12723214285714285,26,2,6,18,-0.15384615384615385,206,337.69753960679617,351.7282220825242
small,arc,semantic,0,T,192,100,453,161,0.2021978021978022,0.506145251396648,125,51,37,37,0.112,204,344.2824943578433,1233.6181180882356
small,arc,semantic,0,C,260,67,501,174,0.3836978131212724,0.5597765363128492,114,68,14,32,0.47368421052631576,204,344.2824943578433,433.17237068137246
small,arc,semantic,0,A,16,27,114,71,-0.09482758620689655,0.12737430167597766,26,3,4,19,-0.038461538461538464,204,344.2824943578433,355.0141598921569
small,arc,semantic,1,T,190,109,463,164,0.17419354838709677,0.5173184357541899,115,53,28,34,0.21739130434782608,212,341.16437464622646,1264.738745971699
small,arc,semantic,1,C,268,63,492,161,0.4149797570850202,0.5497206703910614,123,60,18,45,0.34146341463414637,212,341.16437464622646,431.91222843867916
small,arc,semantic,1,A,13,27,119,79,-0.11570247933884298,0.1329608938547486,21,6,4,11,0.09523809523809523,212,341.16437464622646,355.8127215990565
small,arc,semantic,2,T,196,116,453,141,0.17582417582417584,0.506145251396648,125,47,21,57,0.208,207,339.7596079951691,1241.5581571932369
small,arc,semantic,2,C,258,65,481,158,0.3995859213250518,0.5374301675977654,134,70,16,48,0.40298507462686567,207,339.7596079951691,430.3349634202899
small,arc,semantic,2,A,16,23,105,66,-0.06542056074766354,0.11731843575418995,35,3,8,24,-0.14285714285714285,207,339.7596079951691,351.2159913961352
small,arc,semantic,3,T,194,114,467,159,0.17057569296375266,0.5217877094972067,111,49,23,39,0.23423423423423423,195,342.9615180307694,1246.6177881589747
small,arc,semantic,3,C,263,63,488,162,0.40816326530612246,0.5452513966480447,127,65,18,44,0.3700787401574803,195,342.9615180307694,432.56004350769234
small,arc,semantic,3,A,14,22,108,72,-0.07272727272727272,0.12067039106145251,32,5,9,18,-0.125,195,342.9615180307694,352.03190368717947
small,arc,semantic,4,T,200,109,476,167,0.1903765690376569,0.53125,102,43,28,31,0.14705882352941177,206,337.69753960679617,1277.2051669223306
small,arc,semantic,4,C,263,66,498,169,0.394,0.5558035714285714,117,65,15,37,0.42735042735042733,206,337.69753960679617,432.4529952815533
small,arc,semantic,4,A,17,25,114,72,-0.06896551724137931,0.12723214285714285,26,2,6,18,-0.15384615384615385,206,337.69753960679617,351.7282220825242
