population,pair,dataset,split,n,id,action,comparison,old_f,old_gain,old_harm,old_zero_gain,old_invalid_pair,old_invalid_flip,V2_f,V2_gain,V2_harm,V2_zero_gain,V2_invalid_pair,V2_invalid_flip,R_source_id,R_source_line,action_source_id,action_source_line,D1_f,D1_gain,D1_harm,D1_zero_gain,D1_invalid_pair,D1_invalid_flip
full,small,obqa,train,3466,10-861,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S014,1495,S014,1497,,,,,,
full,small,obqa,train,3466,14-1061,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S014,6243,S014,6241,,,,,,
full,small,obqa,train,3466,14-923,c2c,old_to_V2,1,0,0,1,1,1,1,0,0,1,0,0,S014,7854,S014,7853,,,,,,
full,small,obqa,train,3466,14-324,c2c,D1_to_V2,,,,,,,1,0,1,0,0,0,S014,7064,S014,7063,1,0,1,0,1,1
full,small,obqa,train,3466,1952,c2c,D1_to_V2,,,,,,,1,1,0,0,1,1,S014,8225,S014,8226,0,0,0,0,1,0
full,small,obqa,dev,742,7-703,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S016,1898,S016,1897,,,,,,
full,small,arc,train,1119,Mercury_7191153,c2c,old_to_V2,1,0,1,0,1,1,1,0,1,0,0,0,S018,217,S018,219,,,,,,
full,small,arc,train,1119,Mercury_SC_401359,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S018,703,S018,705,,,,,,
full,small,arc,train,1119,Mercury_7246260,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S018,811,S018,813,,,,,,
full,small,arc,train,1119,Mercury_7185448,c2c,old_to_V2,1,0,0,1,1,1,1,1,0,0,0,0,S018,1198,S018,1199,,,,,,
full,small,arc,train,1119,Mercury_7228095,c2c,old_to_V2,1,0,0,1,1,1,1,0,0,1,0,0,S018,1338,S018,1337,,,,,,
