split,family,q,threshold,cal_accepted,final_deployment,N,n_R,coverage,changed,conditional_risk,marginal_change,benefit,harm,neutral_change,correct,accuracy,accuracy_diff_Text,INVALID_selected,routed_both_INVALID,routed_R_only_INVALID,routed_Text_only_INVALID,routed_both_valid,risk_CP95_descriptive_low,risk_CP95_descriptive_high,mean_cost_ms,median_cost_ms,p95_cost_ms,net_saving_vs_Text_ms,net_saving_vs_Text_fraction,U,random_expected_changes,random_hypergeom95_low,random_hypergeom95_high
cal,D,0.55,0.09748868540822955,False,False,1366,709,0.5190336749633968,24,0.03385049365303244,0.017569546120058566,2,17,5,1163,0.8513909224011713,-0.010980966325036604,0,0,0,0,709,0.02180671386615197,0.04994985241233834,,,,,,,,,
cal,D,0.6,0.10060263240834924,False,False,1366,779,0.5702781844802343,30,0.038510911424903725,0.021961932650073207,2,23,5,1157,0.8469985358711567,-0.015373352855051245,0,0,0,0,779,0.026131279934501317,0.054522408801626995,,,,,,,,,
cal,D,0.65,0.10404623601403046,False,False,1366,849,0.6215226939970717,39,0.045936395759717315,0.02855051244509517,4,30,5,1152,0.8433382137628112,-0.01903367496339678,0,0,0,0,849,0.0328660095934511,0.06226427910644598,,,,,,,,,
cal,D,0.7,0.10772473703441966,False,False,1366,920,0.6734992679355783,43,0.04673913043478261,0.0314787701317716,5,33,5,1150,0.8418740849194729,-0.020497803806734993,0,0,0,0,920,0.034028654690447815,0.06244375012407077,,,,,,,,,
cal,D,0.75,0.11108057622555029,False,False,1366,990,0.7247437774524158,51,0.051515151515151514,0.03733528550512445,8,38,5,1148,0.8404099560761347,-0.021961932650073207,0,0,0,0,990,0.03859356203207851,0.06717974296115485,,,,,,,,,
cal,D,0.8,0.11470266135181671,False,False,1366,1063,0.7781844802342606,69,0.06491063029162747,0.050512445095168376,11,46,12,1143,0.8367496339677891,-0.02562225475841874,0,0,0,0,1063,0.05085184633665923,0.08143325536792723,,,,,,,,,
cal,D,0.85,0.11984897005427914,False,False,1366,1142,0.83601756954612,86,0.07530647985989491,0.0629575402635432,17,55,14,1140,0.8345534407027818,-0.027818448023426062,0,0,0,0,1142,0.06067371597378432,0.09216942152590896,,,,,,,,,
cal,D,0.9,0.12519989957761207,False,False,1366,1220,0.8931185944363104,102,0.08360655737704918,0.0746705710102489,17,67,18,1128,0.8257686676427526,-0.036603221083455345,0,0,0,0,1220,0.06868305354787244,0.10057141253452878,,,,,,,,,
cal,D,0.95,0.13437740872606294,False,False,1366,1282,0.9385065885797951,114,0.08892355694227769,0.08345534407027819,21,72,21,1127,0.8250366032210834,-0.03733528550512445,1,0,1,0,1281,0.07390926312394866,0.10585255956482591,,,,,,,,,
cal,D,1.0,Infinity,False,False,1366,1366,1.0,143,0.10468521229868229,0.10468521229868229,25,90,28,1113,0.8147877013177159,-0.04758418740849195,2,0,2,0,1364,0.08894788037292162,0.122145376963271,,,,,,,,,
cal,R,0.05,0.11714229392379705,False,False,1366,64,0.04685212298682284,0,0.0,0.0,0,0,0,1178,0.862371888726208,0.0,0,0,0,0,64,0.0,0.05600908938663656,,,,,,,,,
cal,R,0.1,0.12736104171705365,False,False,1366,129,0.09443631039531479,0,0.0,0.0,0,0,0,1178,0.862371888726208,0.0,0,0,0,0,129,0.0,0.02819096974972637,,,,,,,,,
cal,R,0.15,0.13448889633827654,False,False,1366,187,0.13689604685212298,2,0.0106951871657754,0.0014641288433382138,0,2,0,1176,0.8609077598828697,-0.0014641288433382138,0,0,0,0,187,0.0012978713479954713,0.038098723778990214,,,,,,,,,
cal,R,0.2,0.14059583531561914,False,False,1366,242,0.17715959004392387,3,0.012396694214876033,0.0021961932650073207,0,3,0,1175,0.8601756954612005,-0.0021961932650073207,0,0,0,0,242,0.0025638290182187088,0.0357989447131382,,,,,,,,,
cal,R,0.25,0.14677750415404223,True,False,1366,311,0.22767203513909223,4,0.012861736334405145,0.0029282576866764276,0,4,0,1174,0.8594436310395315,-0.0029282576866764276,0,0,0,0,311,0.0035152095080862875,0.032601955135757005,,,,,,,,,
cal,R,0.3,0.15367244904923216,True,False,1366,387,0.28330893118594436,6,0.015503875968992248,0.004392386530014641,0,6,0,1172,0.8579795021961932,-0.004392386530014641,0,0,0,0,387,0.005710350923130161,0.033438413575744334,,,,,,,,,
cal,R,0.35,0.1590408411246479,True,False,1366,449,0.328696925329429,8,0.017817371937639197,0.005856515373352855,0,8,0,1170,0.8565153733528551,-0.005856515373352855,0,0,0,0,449,0.007722875768019425,0.034804331982571234,,,,,,,,,
cal,R,0.4,0.16532099602212336,True,True,1366,523,0.3828696925329429,11,0.021032504780114723,0.008052708638360176,0,11,0,1167,0.8543191800878477,-0.008052708638360176,0,0,0,0,523,0.01054499123753565,0.03732080368856371,,,,,,,,,
cal,R,0.45,0.1709493339600331,False,False,1366,584,0.42752562225475843,15,0.025684931506849314,0.010980966325036604,0,14,1,1164,0.8521229868228404,-0.010248901903367497,0,0,0,0,584,0.014445334974984824,0.04200994844283052,,,,,,,,,
cal,R,0.5,0.17649812580475832,False,False,1366,653,0.4780380673499268,20,0.030627871362940276,0.014641288433382138,1,17,2,1162,0.8506588579795022,-0.01171303074670571,0,0,0,0,653,0.01880660301665407,0.046907229695555996,,,,,,,,,
cal,R,0.55,0.18327371995228192,False,False,1366,715,0.5234260614934114,27,0.03776223776223776,0.019765739385065886,2,20,5,1160,0.849194729136164,-0.013177159590043924,0,0,0,0,715,0.025030361275139308,0.054468569108177586,,,,,,,,,
cal,R,0.6,0.19074781808510477,False,False,1366,782,0.5724743777452416,30,0.03836317135549872,0.021961932650073207,2,23,5,1157,0.8469985358711567,-0.015373352855051245,0,0,0,0,782,0.026030457994932924,0.05431498637855589,,,,,,,,,
cal,R,0.65,0.1976087190417628,False,False,1366,852,0.623718887262079,37,0.04342723004694836,0.027086383601756955,3,29,5,1152,0.8433382137628112,-0.01903367496339678,0,0,0,0,852,0.03075806560547143,0.05936447186219257,,,,,,,,,
cal,R,0.7,0.20524083299824047,False,False,1366,927,0.678623718887262,47,0.05070118662351672,0.034407027818448024,8,34,5,1152,0.8433382137628112,-0.01903367496339678,0,0,0,0,927,0.03748780147464362,0.06685435032691234,,,,,,,,,
cal,R,0.75,0.21248436173756335,False,False,1366,988,0.7232796486090776,56,0.05668016194331984,0.040995607613469986,8,40,8,1146,0.8389458272327965,-0.02342606149341142,0,0,0,0,988,0.04309609324555626,0.07297595059335495,,,,,,,,,
cal,R,0.8,0.22006179553703664,False,False,1366,1068,0.7818448023426061,70,0.06554307116104868,0.05124450951683748,12,47,11,1143,0.8367496339677891,-0.02562225475841874,0,0,0,0,1068,0.05144689487851668,0.08208735599596498,,,,,,,,,
cal,R,0.85,0.23149812757749977,False,False,1366,1150,0.8418740849194729,85,0.07391304347826087,0.06222547584187409,16,56,13,1138,0.8330893118594437,-0.029282576866764276,0,0,0,0,1150,0.059462694617275956,0.09058574157076173,,,,,,,,,
cal,R,0.9,0.24333991959058865,False,False,1366,1223,0.8953147877013177,98,0.08013082583810302,0.07174231332357248,17,65,16,1130,0.8272327964860908,-0.03513909224011713,0,0,0,0,1223,0.06553014045302201,0.09678608537420105,,,,,,,,,
cal,R,0.95,0.261719957483052,False,False,1366,1285,0.9407027818448024,114,0.088715953307393,0.08345534407027819,20,73,21,1125,0.8235724743777453,-0.038799414348462666,1,0,1,0,1284,0.07373537353447068,0.10560773470313614,,,,,,,,,
cal,R,1.0,Infinity,False,False,1366,1366,1.0,143,0.10468521229868229,0.10468521229868229,25,90,28,1113,0.8147877013177159,-0.04758418740849195,2,0,2,0,1364,0.08894788037292162,0.122145376963271,,,,,,,,,
cal,Diff,0.05,0.013679740316734912,False,False,1366,69,0.050512445095168376,0,0.0,0.0,0,0,0,1178,0.862371888726208,0.0,0,0,0,0,69,0.0,0.05205805786307967,,,,,,,,,
cal,Diff,0.1,0.01757404873527646,False,False,1366,138,0.10102489019033675,1,0.007246376811594203,0.0007320644216691069,0,1,0,1177,0.8616398243045388,-0.0007320644216691069,0,0,0,0,138,0.00018344554850505007,0.0397117779928485,,,,,,,,,
cal,Diff,0.15,0.020360565518235507,False,False,1366,209,0.15300146412884333,2,0.009569377990430622,0.0014641288433382138,0,2,0,1176,0.8609077598828697,-0.0014641288433382138,0,0,0,0,209,0.0011610043192095325,0.03413849664327392,,,,,,,,,
cal,Diff,0.2,0.023043689898662345,False,False,1366,279,0.2042459736456808,4,0.014336917562724014,0.0029282576866764276,0,4,0,1174,0.8594436310395315,-0.0029282576866764276,0,0,0,0,279,0.003919779143867834,0.03629933759298416,,,,,,,,,
cal,Diff,0.25,0.025890845497101078,False,False,1366,342,0.25036603221083453,8,0.023391812865497075,0.005856515373352855,0,8,0,1170,0.8565153733528551,-0.005856515373352855,0,0,0,0,342,0.010151787349662642,0.04556922239768548,,,,,,,,,
cal,Diff,0.3,0.028190387142774664,False,False,1366,402,0.29428989751098095,9,0.022388059701492536,0.006588579795021962,0,9,0,1169,0.8557833089311859,-0.006588579795021962,0,0,0,0,402,0.01028716200841166,0.04207280691734734,,,,,,,,,
cal,Diff,0.35,0.031071249279197022,False,False,1366,476,0.3484626647144949,15,0.031512605042016806,0.010980966325036604,2,12,1,1168,0.8550512445095169,-0.007320644216691069,0,0,0,0,476,0.017742483590936973,0.05144316940262879,,,,,,,,,
cal,Diff,0.4,0.033016270370298306,False,False,1366,531,0.38872620790629575,16,0.030131826741996232,0.01171303074670571,2,13,1,1167,0.8543191800878477,-0.008052708638360176,0,0,0,0,531,0.01731900294261641,0.04847185247009898,,,,,,,,,
cal,Diff,0.45,0.03487732061456217,False,False,1366,572,0.41874084919472915,18,0.03146853146853147,0.013177159590043924,2,15,1,1165,0.8528550512445096,-0.00951683748169839,0,0,0,0,572,0.018754724825744,0.049279038129714646,,,,,,,,,
cal,Diff,0.5,0.037276597307819626,False,False,1366,646,0.47291361639824303,21,0.032507739938080496,0.015373352855051245,2,15,4,1165,0.8528550512445096,-0.00951683748169839,0,0,0,0,646,0.02023317923799396,0.04926374534239534,,,,,,,,,
cal,Diff,0.55,0.039738665800783224,False,False,1366,711,0.5204978038067349,26,0.03656821378340366,0.01903367496339678,2,19,5,1161,0.8499267935578331,-0.012445095168374817,0,0,0,0,711,0.024024050575366256,0.05312373516909824,,,,,,,,,
cal,Diff,0.6,0.042528707186739734,False,False,1366,777,0.568814055636896,31,0.039897039897039896,0.022693997071742314,2,24,5,1156,0.8462664714494875,-0.016105417276720352,0,0,0,0,777,0.027266262461608744,0.056154951412646745,,,,,,,,,
cal,Diff,0.65,0.045363873322016635,False,False,1366,847,0.6200585651537335,38,0.0448642266824085,0.027818448023426062,4,29,5,1153,0.8440702781844802,-0.018301610541727673,0,0,0,0,847,0.0319410863530781,0.061062280244737935,,,,,,,,,
cal,Diff,0.7,0.048391125919059474,False,False,1366,916,0.6705710102489019,41,0.04475982532751092,0.030014641288433383,5,31,5,1152,0.8433382137628112,-0.01903367496339678,0,0,0,0,916,0.03230881607537745,0.06023446730576926,,,,,,,,,
cal,Diff,0.75,0.05150182277488857,False,False,1366,1000,0.7320644216691069,57,0.057,0.04172767203513909,7,40,10,1145,0.8382137628111274,-0.024158125915080528,0,0,0,0,1000,0.04345358193695858,0.07322272946066224,,,,,,,,,
cal,Diff,0.8,0.05495314450268218,False,False,1366,1067,0.781112737920937,70,0.06560449859418932,0.05124450951683748,11,47,12,1142,0.83601756954612,-0.02635431918008785,0,0,0,0,1067,0.05149544971584512,0.0821636039450093,,,,,,,,,
cal,Diff,0.85,0.05899105719359188,False,False,1366,1130,0.8272327964860908,85,0.0752212389380531,0.06222547584187409,15,56,14,1137,0.8323572474377745,-0.030014641288433383,0,0,0,0,1130,0.06052295553309446,0.09217426757794243,,,,,,,,,
cal,Diff,0.9,0.06430356667521742,False,False,1366,1215,0.8894582723279648,104,0.08559670781893004,0.07613469985358712,17,68,19,1127,0.8250366032210834,-0.03733528550512445,0,0,0,0,1215,0.0704720901614335,0.10276069803159629,,,,,,,,,
cal,Diff,0.95,0.07184769980313588,False,False,1366,1285,0.9407027818448024,115,0.08949416342412451,0.0841874084919473,20,73,22,1125,0.8235724743777453,-0.038799414348462666,1,0,1,0,1284,0.07445047475912678,0.10644520392508328,,,,,,,,,
cal,Diff,1.0,Infinity,False,False,1366,1366,1.0,143,0.10468521229868229,0.10468521229868229,25,90,28,1113,0.8147877013177159,-0.04758418740849195,2,0,2,0,1364,0.08894788037292162,0.122145376963271,,,,,,,,,
cal,H,0.05,0.045943813183105135,False,False,1366,83,0.06076134699853587,0,0.0,0.0,0,0,0,1178,0.862371888726208,0.0,0,0,0,0,83,0.0,0.0434711521664418,,,,,,,,,
cal,H,0.1,0.0484861424305195,True,False,1366,137,0.10029282576866765,0,0.0,0.0,0,0,0,1178,0.862371888726208,0.0,0,0,0,0,137,0.0,0.026566851096283282,,,,,,,,,
cal,H,0.15,0.050250763134808224,True,False,1366,197,0.14421669106881405,1,0.005076142131979695,0.0007320644216691069,0,1,0,1177,0.8616398243045388,-0.0007320644216691069,0,0,0,0,197,0.00012850853386930334,0.027956460269938085,,,,,,,,,
cal,H,0.2,0.052216939387285145,True,False,1366,269,0.19692532942898974,3,0.011152416356877323,0.0021961932650073207,0,3,0,1175,0.8601756954612005,-0.0021961932650073207,0,0,0,0,269,0.002305827926398838,0.03224433992903975,,,,,,,,,
cal,H,0.25,0.05362096654722128,True,True,1366,327,0.23938506588579794,4,0.012232415902140673,0.0029282576866764276,0,4,0,1174,0.8594436310395315,-0.0029282576866764276,0,0,0,0,327,0.003342705453589902,0.031022016472107977,,,,,,,,,
cal,H,0.3,0.05527878170826983,False,False,1366,388,0.2840409956076135,8,0.020618556701030927,0.005856515373352855,0,8,0,1170,0.8565153733528551,-0.005856515373352855,0,0,0,0,388,0.008942653645571176,0.04022112814604937,,,,,,,,,
cal,H,0.35,0.05674748570779616,False,False,1366,465,0.3404099560761347,11,0.023655913978494623,0.008052708638360176,0,11,0,1167,0.8543191800878477,-0.008052708638360176,0,0,0,0,465,0.011866744480595938,0.04193211051753884,,,,,,,,,
